time,accn_ir_7
0,-0.083004351
1,-0.195734331
2,0.233419281
3,0.103958483
4,-0.18111517
5,0.055552814
6,0.173805589
7,-0.046943752
8,-0.111917804
9,0.059613693
10,0
11,0.024365269
12,0.060425868
13,-0.170394451
14,-0.149440319
15,-0.185338483
16,0.136607944
17,0.396179281
18,-0.135470898
19,-0.106882315
20,0.067410579
21,-0.277439202
22,-0.060750739
23,0.24414
24,-0.146516487
25,0.042070699
26,0.501762116
27,-0.052304112
28,-0.304565868
29,0.161460519
30,0.078456168
31,-0.27516511
32,-0.045481836
33,0.247063832
34,-0.040933653
35,-0.019492216
36,0.382047425
37,-0.201257126
38,-0.50127481
39,0.538147585
40,0.484543992
41,-0.401052335
42,-0.007309581
43,0.583142116
44,0.211165669
45,-0.327306786
46,-0.028263713
47,0.053278723
48,-0.077806427
49,0.316910938
50,0.053766028
51,-0.323733214
52,-0.06838519
53,0.283449301
54,0.047918363
55,-0.258109421
56,-0.020954132
57,0.098598124
58,-0.009096367
59,0.150577365
60,0.201094691
61,-0.136120639
62,0.098760559
63,0.264769261
64,-0.051979242
65,-0.044669661
66,0.152851457
67,0.036872774
68,-0.186962834
69,-0.048405669
70,-0.067573014
71,-0.184526307
72,-0.003573573
73,0.11240511
74,-0.052953852
75,-0.046781317
76,0.155287984
77,-0.007147146
78,-0.079430778
79,0.088527146
80,-0.000162435
81,-0.015918643
82,0.117440599
83,-0.038497126
84,-0.102171697
85,0.122151218
86,0.174617764
87,-0.060100998
88,-0.222373693
89,0.299043074
90,0.304728303
91,-0.708217166
92,-0.750612735
93,0.06205022
94,0.228546228
95,0.185176048
96,0.15707477
97,-0.249175489
98,0.416808543
99,0.900702794
100,-0.453356447
101,-0.772216607
102,0.554391098
103,0.752237086
104,-0.347773613
105,-0.305865349
106,0.49493984
107,0.286698004
108,-0.222211257
109,-0.102171697
110,-0.293195409
111,-0.628786387
112,0.029725629
113,0.149115449
114,-0.331692535
115,0.113217285
116,0.521091896
117,0.009746108
118,-0.248038443
119,0.211815409
120,0.198170858
121,-0.207267226
122,-0.021766307
123,0.500137764
124,0.45091992
125,0.064161876
126,0.04970515
127,0.107856926
128,0.023553094
129,-0.235855808
130,-0.423630818
131,-0.109156407
132,0.233906587
133,0.162272695
134,-0.012182635
135,0.069684671
136,0.206292615
137,0.201581996
138,0.068872495
139,-0.185338483
140,-0.169907146
141,0.021766307
142,-0.100547345
143,-0.104283353
144,0.121501477
145,0.05668986
146,-0.049380279
147,-0.025177445
148,-0.007959321
149,-0.020629261
150,-0.11240511
151,-0.130272974
152,0.054253333
153,0.197358683
154,0.042233134
155,0.072608503
156,0.271429102
157,0.175917246
158,-0.130922715
159,-0.218962555
160,-0.088202275
161,-0.083654092
162,0.094699681
163,0.145379441
164,0.367753134
165,-0.044507226
166,-0.879423792
167,-0.493315489
168,0.09372507
169,0.4129101
170,0.000487305
171,-0.157562076
172,0.368727745
173,0.455630539
174,-0.221399082
175,-0.940824271
176,-0.06871006
177,0.950407944
178,0.267368224
179,-0.520442156
180,0.215064112
181,0.702694371
182,0.2501501
183,-0.289621836
184,-0.564462076
185,-0.30018012
186,0.292870539
187,0.413072535
188,-0.47528519
189,-0.235693373
190,0.794632655
191,0.310738403
192,-0.66370994
193,-0.337215329
194,0.559264152
195,0.174942635
196,-0.34420004
197,0.207754531
198,0.304565868
199,-0.038659561
200,0.278251377
201,0.303753693
202,-0.144242395
203,-0.162110259
204,-0.0120202
205,-0.118252774
206,-0.047268623
207,0.322108862
208,0.03703521
209,-0.398290938
210,0.051816806
211,0.379286028
212,-0.094862116
213,-0.235206068
214,0.006172535
215,-0.056852295
216,0.016081078
217,-0.007634451
218,-0.172018802
219,0.142293174
220,0.435651018
221,0.061725349
222,-0.286373134
223,-0.03070024
224,0.209054012
225,0.002598962
226,-0.223185868
227,-0.001786786
228,0.140506387
229,-0.059451257
230,0.002274092
231,0.130272974
232,-0.020141956
233,-0.113542156
234,-0.114029461
235,-0.16276
236,0.036872774
237,0.260221078
238,0.181277605
239,0.00568523
240,-0.145217006
241,0.047918363
242,0.12539992
243,0.057826906
244,0.133684112
245,-0.044669661
246,0.037522515
247,0.139694212
248,-0.312037884
249,-0.577781756
250,-0.061400479
251,0.344687345
252,0.059288822
253,-0.070334411
254,0.064811617
255,0.097136208
256,0.126049661
257,0.019817086
258,-0.296119242
259,-0.14976519
260,0.371814012
261,0.513132575
262,0.266556048
263,-0.013969421
264,0.05668986
265,0.088202275
266,-0.14976519
267,-0.209866188
268,-0.108181796
269,-0.053928463
270,0.005035489
271,0.143105349
272,0.01900491
273,-0.270779361
274,-0.032487026
275,0.310738403
276,0.029888064
277,-0.114354331
278,0.192648064
279,0.210840798
280,0.009096367
281,0.069522236
282,0.113542156
283,-0.095999162
284,-0.115978683
